敘述統計,,,,,,,,,
,,N,平均值,標準差,標準誤,平均值的 95% 信賴區間,,最小值,最大值
,,,,,,下限,上限,,
去頭皮屑,海倫仙度絲,22,4.27,0.767,0.164,3.93,4.61,3,5
,飛柔,14,3.64,0.842,0.225,3.16,4.13,3,5
,mod's hair,22,4,0.873,0.186,3.61,4.39,2,5
,麗仕,10,3.4,0.843,0.267,2.8,4,2,5
,多芬,20,3.8,0.951,0.213,3.35,4.25,1,5
,其他,36,3.81,1.009,0.168,3.46,4.15,1,5
,總計,124,3.87,0.919,0.083,3.71,4.03,1,5
保濕,海倫仙度絲,22,4,0.69,0.147,3.69,4.31,3,5
,飛柔,14,3.64,0.929,0.248,3.11,4.18,2,5
,mod's hair,22,4.64,0.581,0.124,4.38,4.89,3,5
,麗仕,10,3.4,0.966,0.306,2.71,4.09,2,5
,多芬,20,4,0.795,0.178,3.63,4.37,2,5
,其他,36,3.92,1.105,0.184,3.54,4.29,1,5
,總計,124,4,0.928,0.083,3.83,4.17,1,5
護髮,海倫仙度絲,22,3.45,1.011,0.215,3.01,3.9,1,5
,飛柔,14,3.29,0.611,0.163,2.93,3.64,3,5
,mod's hair,22,3.77,1.02,0.218,3.32,4.23,2,5
,麗仕,10,3.1,0.994,0.314,2.39,3.81,2,5
,多芬,20,3.25,1.209,0.27,2.68,3.82,1,5
,其他,36,3.33,1.146,0.191,2.95,3.72,1,5
,總計,124,3.4,1.05,0.094,3.21,3.58,1,5
止癢,海倫仙度絲,21,4.05,0.973,0.212,3.6,4.49,2,5
,飛柔,13,3.46,0.776,0.215,2.99,3.93,2,5
,mod's hair,22,4.27,0.703,0.15,3.96,4.58,3,5
,麗仕,10,3.4,0.966,0.306,2.71,4.09,2,5
,多芬,20,3.9,1.119,0.25,3.38,4.42,1,5
,其他,36,4.03,0.971,0.162,3.7,4.36,2,5
,總計,122,3.94,0.956,0.087,3.77,4.11,1,5
香味,海倫仙度絲,22,3.77,0.922,0.197,3.36,4.18,1,5
,飛柔,14,3.36,1.008,0.269,2.78,3.94,2,5
,mod's hair,22,3.95,0.844,0.18,3.58,4.33,2,5
,麗仕,10,3.5,1.179,0.373,2.66,4.34,1,5
,多芬,20,3.65,1.089,0.244,3.14,4.16,1,5
,其他,36,3.94,1.068,0.178,3.58,4.31,1,5
,總計,124,3.77,1.013,0.091,3.59,3.95,1,5
防止分岔,海倫仙度絲,22,4.09,0.75,0.16,3.76,4.42,3,5
,飛柔,14,3.57,0.852,0.228,3.08,4.06,2,5
,mod's hair,22,4.14,0.774,0.165,3.79,4.48,3,5
,麗仕,10,3.1,0.994,0.314,2.39,3.81,1,4
,多芬,20,3.95,0.999,0.223,3.48,4.42,2,5
,其他,36,3.89,0.979,0.163,3.56,4.22,1,5
,總計,124,3.88,0.925,0.083,3.71,4.04,1,5
柔順,海倫仙度絲,22,4.41,0.666,0.142,4.11,4.7,3,5
,飛柔,14,3.64,1.008,0.269,3.06,4.22,2,5
,mod's hair,22,4.68,0.477,0.102,4.47,4.89,4,5
,麗仕,10,3.8,0.919,0.291,3.14,4.46,2,5
,多芬,20,4.35,0.933,0.209,3.91,4.79,2,5
,其他,36,4.22,0.929,0.155,3.91,4.54,1,5
,總計,124,4.26,0.873,0.078,4.1,4.41,1,5
整體效果,海倫仙度絲,22,4,0.816,0.174,3.64,4.36,2,5
,飛柔,14,3.43,1.016,0.272,2.84,4.02,2,5
,mod's hair,22,4.5,0.673,0.143,4.2,4.8,3,5
,麗仕,10,3.8,0.919,0.291,3.14,4.46,3,5
,多芬,20,4.15,0.933,0.209,3.71,4.59,2,5
,其他,36,4.11,0.854,0.142,3.82,4.4,2,5
,總計,124,4.06,0.89,0.08,3.91,4.22,2,5
